sentence1,sentence2,score
"Russia, China veto UN resolution on Syria killings","Russia, China in double veto of UN Syria resolution",0.76
Pakistani plane crashes with 127 on board,Pakistani Plane Crashes With 130 People On Board,0.52
UN security council orders global sanctions against Haqqani network in Afghanistan,UN orders global sanctions against Haqqani network,0.88
Erdogan and Putin talked in raised voice,Foreign militants killed in Somalia in strike on car,0.0
Saudi Arabia arrests suspected militants with al-Qaeda links,"Saudi Arabia arrests suspected militants, state media reports",0.8
Hurricane Sandy Closes in on US East Coast,Hurricane Sandy takes aim at US East Coast,0.96
"Chicago teachers strike: Vacations for students, for good or ill",Chicago teacher strike poses test for unions,0.44
Panetta says Afghanistan role to shift from combat in 2013,Panetta: Afghanistan Tops NATO Conference Topics,0.32
Four men admit London Stock Exchange bomb plot,Four men admit London bombs plot,0.8
Israel threatens action against Gaza aid ship,Israel attacks in Gaza Strip after rocket fire,0.32
Bodies Found at Russian Jet Crash in Indonesia,12 bodies found at Russian jet crash in Indonesia,0.76
Syria urges refugees to return,Syria's tenuous truce takes hold,0.2
US soldier kills up to 16 civilians in Afghanistan,US soldier kills up to 16 Afghan civilians in shooting spree,0.84
Rupert Murdoch: I was the victim of a cover up,Rupert Murdoch set for second day of grilling,0.24
Barack Obama's bodyguards sent back to US after prostitution scandal,Barclays boss falls to rate fixing scandal,0.08
China's yuan rises to new high against USD Wednesday,China's yuan advances to 6.3103 against USD Wednesday,0.76
Nissan to sell steer-by-wire cars,Nissan to offer steer-by-wire systems in some Infiniti cars,0.8
Tibetan monk dies after setting himself on fire in protest against Chinese rule,Teenage Tibetan monk dies after setting himself on fire in China,0.76
Mumbai is 2nd costliest Indian city to live in,Tech capital Bangalore costliest Indian city to live in: Survey,0.2
"Man, 19, quizzed over teen murder",Man quizzed over Megan-Leigh murder,0.76
"Israel kills Hamas commander, bombs Gaza targets","Israel airstrikes kill Hamas commander, 5 others",0.68
Gusmao consolidates power in East Timor elections,Gusmao powers on in East Timor,0.72
UN monitors yet to reach site of Syrian 'massacre' – video,UN monitors unable to reach site of Syria killings,0.88
NATO Condemns Syria's Downing of Turkish Military Jet,NATO strongly condemns Syria's downing of Turkish jet,0.96
Syria rebels attack Lebanese post near border: army,Turkish army stages tank exercises near Syria border,0.16
Five killed in China building collapse,At least 20 killed in Syria Saturday,0.04
Syrian forces launch new attacks,Syria forces launch Aleppo attack,0.68
Gazans fire 2 rockets into Israel; no injuries,Gazans fire 89 rockets; cabinet approves reserve call-up,0.28
Former Nazi death camp guard Demjanjuk dead at 91,"John Demjanjuk, convicted Nazi death camp guard, dies aged 91",0.92
Boris Johnson re-elected London mayor,Johnson re-elected London mayor,0.76
Breivik drops far-right salute in court,Breivik gets 21-year sentence,0.2
Second teenager charged with murder,Brother of EastEnders actress Gemma McCluskie is charged with her murder,0.28
French Fear New Serial Killer After Murders,Jersey Murder Trial: Killer 'Hearing Voices',0.16
US: Madoff brother to plead guilty in NY in fraud,Madoff's brother to plead guilty to fraud,0.84
Hollande defeats Sarkozy in French presidency vote,Polls open across France in presidential election,0.36
Libyan government retakes Tripoli airport,Libyan militia takes control of Tripoli airport,0.64
Clinton warns Kenya of cost of election violence,Clinton warns Kenya on cost of election unrest,0.92
Arkansas Supreme Court strikes down execution law,Arkansas Justices Strike Down Death Penalty,0.92
S. Africa's former president Mandela discharged from hospital,Mandela Discharged From Hospital,0.84
UN envoy in Turkey for talks on Syria,NZ to increase exports to China,0.04
Islamist Morsi Wins Egypt's Presidential Election,Al-Shater to run in presidential election in Egypt,0.2
"Donna Summer, the queen of disco","Donna Summer, Queen of Disco, Dies at 63",0.32
"Bangladesh Muslims torch Buddhist shrines, police say",Muslims torch Buddhist temples,0.72
U.S. Drone Kills Five Militants in Pakistan,Six Police Officers Killed in Attacks in Dagestan,0.08
Mali future interim president readies to take office,Pope rips into dissident priests on celibacy,0.0
"9 killed, 168 injured in latest Cairo clashes","10 killed, 12 injured in E. Afghan airport suicide blast",0.24
Romney wins Maine Republican caucuses,"Romney, in comeback, has narrow Maine caucus win",0.76
Court in Bahrain rejects medics' last rally appeal,Bahrain rejects activists' appeal,0.76
Hurricane Sandy powers toward Eastern Seaboard,Hurricane Sandy moves towards US,0.72
Clinton calls for friends of Syria to unite,Plastic artist calls for greater support for new talents,0.0
JK Rowling launches her first adult novel,Syria launches ground assault in Aleppo,0.0
Algerian government parties dominate elections,Algerian national turnout of parliamentary vote reaches 44.38 pct,0.48
Security official killed in Yemen,Security personnel killed in Pakistan raid,0.12
US stocks fall as Greek talks lumber; Apple falls,US stocks slip on Wall Street as Greek talks drag on,0.64
Romney picks Ryan as vice presidential running mate: source,Romney to tap Ryan as vice presidential running mate,1.0
NATO sticks to transition roadmap in Afghanistan: Rasmussen,NATO helicopter makes hard landing in E. Afghanistan,0.2
Mubarak faces verdict in murder trial,Mubarak's sons face new charges of insider trading,0.28
No blocks to investment,India allows Pakistan investment,0.4
Blast kills 11 in northwestern Pakistan,Bomb Kills 19 In Northwest Pakistan,0.52
5 aid workers freed in operation in Afghanistan,Suicide bomber kills 37 at mosque in Afghanistan,0.16
Two NATO soldiers killed in Afghanistan,NATO Soldier Killed in Afghan Blast,0.72
Nadal tumbles into French Open final,Nadal through to seventh French Open final,0.8
Russian TV reports foiled attempt on Putin,"Russia, Ukraine foiled plot to kill Putin, report says",0.64
Putin claims victory in Russia's presidential election,Putin wins disputed Russian presidential election,0.88
Remains of 167 bodies found in Mexican cave,Remains of 167 people found in Mexico cave,1.0
orphaned alps massacre girl returns to uk,Alps attack: Girl returns to UK,0.8
Obama team raises debate stakes,Obama takes offensive against Romney in debate,0.56
Two Kenyan ministers among 6 killed in plane crash,Poland honors president killed in 2010 plane crash,0.16
Thousands gather for new Russian anti-Putin rally,Thousands gather in Moscow for rival rallies,0.56
Google names new Motorola Mobility CEO,Google appoints Dennis Woodside to run Motorola Mobility,0.76
Massive Hurricane Sandy bears down on U.S. East Coast,Hurricane Sandy takes aim at US East Coast,0.88
Another rocket hits Eshkol; no injuries,2 rockets hit Eshkol; none injured,0.68
Thousands more Syrian refugees flee to Turkey overnight,"8,000 Syrian refugees flee to Turkey overnight",0.76
Assange appeals extradition to UK's top court,Assange to appeal extradition to UK's top court,0.8
Strong quake jolts most parts of Pakistan,Strong quake hits eastern Indonesia,0.4
Lebanese Gunmen Clash Over Syria Crisis,Syrians hold solution to Syria crisis,0.2
Mob kills man for burning Quran,Pakistani Mob Kills Man 'for Burning Koran',0.8
US drone strike kills four in North Waziristan,U.S. drone strike kills 10 in northwest Pakistan: officials,0.36
Salvador Dali painting snatched from New York gallery,Salvador Dali painting snatched in NYC,0.92
Putin claims victory in Russia's presidential election,Will Putin's Election Victory in Russia Be Greeted with Protests?,0.36
Sarkozy announces re-election bid,France's Nicolas Sarkozy makes his reelection bid official,0.84
"US, UK in pact to release emergency oil stocks","US, UK Set to Agree Emergency Oil Stocks Release",0.92
Eurozone unemployment stays at record 11 percent,Eurozone unemployment at record high in June,0.6
French Socialist Party wins parliament victory,French Socialists win absolute parliament majority,0.76
"Salafi Islamists, police clash in Tunis - witnesses",Second Islamist hunger striker dies in a Tunisian prison,0.12
Strauss-Kahn investigated in French prostitution ring,Dominique Strauss-Kahn faces questions over French prostitution ring,0.76
Romney wins Florida Republican primary,Romney eyes US Republican primary endgame,0.36
US drone strike kills four in North Waziristan,Suspected drone strike kills 4 in Pakistan,0.52
2 Traffic Accidents Leave 47 Dead in China,3 traffic accidents leave 56 dead in China,0.48
Head of CIA resigns over affair,Hall of Fame beckons for Capriati,0.0
France's Strauss-Kahn charged with involvement in prostitution vice ring,Strauss-Kahn charged in prostitution vice ring,0.8
Sony reports record annual loss,Sony forecasts record annual loss of $6.4bn,0.72
12 killed in Gaza in Israeli airstrikes,"Ictu, Ibec in move on airline strike",0.08
9 killed in attacks after deadly Iraq day,19 Killed in Iraq Attacks ahead of Ramadan End,0.28
Barclays hit by fresh U.S. investigations,Barclays hit by fresh US probe,0.88
US closes embassy in Syria (AP),Closed roads in Armenia,0.08
EU heaps new sanctions on Syria,EU imposes new sanctions on Syrian regime,0.88
Russians rally against Putin's rule,Tens of thousands rally against Putin's rule (AP),0.68
Bahrain Grand Prix Underway Amid Protests,Bahrain race goes ahead amid unrest,0.8
China stocks open flat Monday,Chinese stocks open mixed Wednesday,0.28
Sheryl Crow says has benign brain tumor,Sheryl Crow Has a Benign Brain Tumor,0.92
Afghan parliament approves U.S.-Afghan security pact,Afghan parliament approves U.S. partnership,0.76
"Two German tourists, two pilots killed in Kenya air crash",Senator Reid involved in Las Vegas car crash: CNN,0.12
"Israeli, Palestinian negotiators quietly meet","Israeli, Palestinian negotiators meet in Jordan",0.72
US astronaut Neil Armstrong dead at 82,US astronaut Neil Armstrong dies,0.72
Amnesty: Syria rebels also committing abuses,Amnesty investigator: Syria rebels also committing abuses,0.84
Mitt Romney wins Republican primary in Indiana,Romney wins Florida Republican primary,0.32
East German rights activist Gauck elected president,Joachim Gauck elected as German president,0.8
South Africa starts investigating mine violence,South Africa hosts 'peace talks' in mine standoff,0.48
"3 dead, 27 injured in SW China accident",35 dead and 165 missing in India boat accident,0.08
Santorum Romping To Minnesota Victory,Santorum wins Kansas caucuses,0.2
Space legend Neil Armstrong dies,First man on moon Neil Armstrong dies at 82,0.8
U.S. and Turkey weigh no-fly zones for Syria,"Turkey, US weigh no-fly zones for Syria",0.96
Man arrested over double murder,WA man arrested in police drug raid,0.16
Florida counties extend early voting,Fla. Democrats want extended early voting hours,0.56
Warship sets sail for Falklands,British Warship Sets Sail for Falklands,0.76
"Newcastle 2-0 Liverpool: Match report, pictures & video highlights","QPR 1-2 West Ham: Match report, pictures & video highlights",0.2
Palestinian prisoners to end hunger strike,Progress reported in Palestinian prisoner hunger strike talks,0.56
Police: Four killed in German hostage taking incident,Palestinians: 12 killed in IDF strike in northern Strip,0.2
Egypt lets Mubarak PM back in presidential race,Egypt confirms Mubarak's PM back in presidency race,0.85
Syrian journalists killed in capital,US Marines killed in base attack,0.12
GOP candidate Romney to call to arm Syrian rebels,US helping get arms to Syria rebels,0.48
U.N. observer patrol arrives at Syria massacre site,UN observers reach Syria massacre village,0.88
American Airlines and Pilots Agree on a New Contract,Romney pledges to 'stand with Israel' on Iran threat,0.0
Greek PM to announce new election,Greek PM calls for May 6 general election,0.56
Government of Canada Supports Montréal Women Leading Change,Government of Canada Supports Women's Safety in Regina,0.32
No problem if Mulayam forms Third Front: Congress,No problem if Mulayam forms third front: Digvijay,0.64
Bradley triumphs at Firestone as Furyk fades,Bahrain court upholds sentences against uprising leaders,0.0
Plane crash in Ghana kills at least 10,Plane Crash in Ghana: How the international media reported it,0.44
Six US troops killed in Afghan bomb attack,6 NATO troops killed in Afghanistan,0.36
Syria forces launch Aleppo attack,Syrian forces kill 54 ahead of Annan peace mission,0.32
"Romney, Obama fight for edge on Medicare","Obama, Romney compete for undecideds, stoke base",0.2
BBC director general resigns over 'shoddy journalism',BBC Director General Resigns amid Newsnight Scandal,0.72
Rick Santorum wins Kansas caucuses,Rick Santorum notches a victory in Kansas caucuses,0.96
"In Islamist-led Egypt, Coptic Church names new pope",Egyptian Christians choose new pope,0.64
US pledge to rebuild Haiti not being met,US Pledge to Rebuild Haiti Not Being Met,1.0
Chinese stocks close higher Thursday,Chinese stocks open mixed Wednesday,0.2
Greece to vote on 2013 budget; protesters gather,Greece to vote on 2013 budget,0.72
"U.S., EU Cautiously Welcome Iran's Proposal To Restart Nuclear Talks","U.S., EU welcome Iran's offer to restart nuclear talks",0.8
Clinton warns Kenya of cost of election violence,Clinton warns Kenya on repeat of 2007 vote chaos,0.56
Anti-American Protests Over Film Expand to Nearly 20 Countries,Anti-American fury sweeps Middle East over film,0.76
Journalists hail London Olympics opening,Israeli delegation marches in 2012 Olympics opener,0.2
Aust stocks open lower,Tokyo stocks open lower,0.3
WikiLeaks begins publishing two million Syria emails,WikiLeaks Releasing Trove of Syria Documents,0.68
Palestinians: 2 Gaza militants killed in Israeli airstrike on coastal strip,Officials: Gaza man killed in Israeli airstrike (AP),0.6
Mali's President Hands in Resignation,Mali's President Formally Resigns,0.92
Three killed in Nigeria suicide bombers attack,60 killed in Nigeria cattle market attack,0.28
"FACTBOX-Security developments in Iraq, February 1","FACTBOX-Security developments in Pakistan, March 13",0.32
HRW: Jordan biased against Palestinians from Syria,Jordan biased over Palestinians from Syria,0.84
Israel among top arms exporters in world: report,Israel among top arms exporters and importers,0.76
Egyptians to vote for new president,Somali MPs to elect new president,0.16
Federer Wins 7th Wimbledon Title,Federer captures 7th Wimbledon title,1.0
Qaida leader calls for kidnap of Westerners in Egypt,Al-Qaida Leader Urges Kidnapping of Westerners,0.72
China stocks close mixed Friday,Chinese stocks close higher midday Friday,0.52
43 killed in bus crash,15 killed in crash in India,0.32
Putin sworn in as Russian president,Putin sworn in as Russia's president for 6 years,0.8
China trade returns to surplus in March,Tense calm returns to south Tel Aviv,0.0
Highlights of the Vice Presidential debate,Five things to watch in the presidential debate,0.44
"Full Episode: Nightline 6/29: Katie Holmes, Tom Cruise to Divorce","Custody, images at stake in Cruise-Holmes divorce",0.28
Syrian regime denies role in Houla massacre,Syria blames rebels for Houla massacre of over 100,0.6
South Sudan accuses Sudan of bombings ahead of talks,S. Sudan accuses Sudan of bombing in blow to talks,0.88
Nine killed in gun attack in Pakistan,Five million citizens get unofficial salary in Ukraine,0.0
"Syria demands guarantees, rebels say peace plan doomed",Syria demands written guarantee for troop pullback,0.64
Minn. terminal reopens after evacuation,Minn. Terminal Reopens After Bag Causes Evacuation,0.76
Golf: Westwood takes lead in Dubai Desert Classic,Westwood in front a Dubai Desert Classic,0.8
Sudan Blocks YouTube Over Anti-Islam Film,Pakistan's PM orders YouTube halt over anti-Islam film,0.56
Polls open in Russian presidential election,Polls close in Senegal's presidential election,0.28
Chavez leaves again for Cuba for radiotherapy,Chavez set for more radiotherapy in Cuba,0.88
Romanian president declared victory,Chinese president concludes state visit to Denmark,0.12
Russians rally support for Orthodox church over Pussy Riot controversy,Russian Orthodox Church rallies faithful after criticism,0.72
Clinton lands in India to breathe life into ties,Clinton Warns Against Undermining Grameen Bank,0.28
Mali interim leader takes office,Mali's Interim President Sworn Into Office,0.84
Putin Declares Victory In Russian Presidential Vote,Putin 'wins' Russia's presidential election,0.76
AL renews condemnation on Syria's violence,U.S. closes embassy in Damascus due to Syria violence,0.32
EU slaps sanctions on Assad family,EU sanctions Assad's wife; mortars hit Homs,0.68
Air Force Instructor Faces Sentencing for Rape,Women testify at Air Force instructor's sentencing,0.36
More than 30 striking miners killed,More than 30 striking miners killed in South Africa,0.76
Iron Dome intercepts 17 rockets,Iron Dome intercepts two rockets fired at Beersheba,0.52
Mali Islamists destroying 'more Timbuktu shrines',Mali Islamists destroy more holy Timbuktu sites,0.9
China stocks end higher on PMI at midday,Chinese stocks open higher Thursday,0.36
Scientists Resurrect Flowers from Prehistoric Seeds,"Nintendo trims red ink, lowers forecast for year",0.0
Man convicted in Vatican leaks case,"Butler to be tried in ""Vatileaks"" case",0.52
"Romney, Paul vie for Maine caucus win",Romney has narrow Maine caucus win,0.56
Sectarian clashes rock Lebanese city of Tripoli,"Sectarian clashes rock Lebanese city, 3 killed",0.76
Repsol blasts Argentina over nationalization of YPF,Repsol blasts Argentina over oil nationalization,0.68
"Several dead, 550 injured in Argentina train crash",49 feared dead in Buenos Aires train crash,0.28
Aung San Suu Kyi to address British MPs,Burma's Aung San Suu Kyi to address parliament on June visit,0.8
Sheriff: Man recovers stolen car 42 years later,US man recovers car 42 years after theft,0.8
"Google CEO says Android important, not critical","Larry Page says Android important, not critical",0.8
Iran may cut oil exports to more EU states,Iran MPs say ready to ban oil exports to some EU states,0.72
Factory Fires Kill At Least 260 in Pakistan,At Least Six Dead in Pakistan Gunfight,0.16
Australian among four on plane missing in Indonesia,Iranian painter Mansoureh Hosseini dies,0.0
Romney vows to restore 'promise of America',Romney Promises to 'Restore America',0.76
Santorum's 3-year-old daughter hospitalized,'Kony 2012' director hospitalized,0.12
Mandela released from hospital,Israeli president released from hospital,0.24
Jaya Prada all set to join BJP,"Jaya Prada likely to join BJP, Amar Singh to decide for her",0.76
Hezbollah's Nasrallah warns US over anti-Islam film,Hezbollah calls for more anti-Islam film protests,0.56
Nadal tops Djokovic for 7th French Open title,Tennis: Nadal defeats Djokovic for Monte Carlo title,0.64
Childcare costs rise by nearly 6%,"Childcare 'costing £15,000 a year'",0.6
Obama urges decisive action on Europe debt crisis,Obama urges Europe to act quickly on crisis,0.68
Beef burger mix recalled over salmonella concerns,Choc powder recalled over salmonella concerns,0.2
"Obama, Romney Prepare for First Debate","Obama, Romney prepare to debate",0.84
First significant gas found offshore Kenya,Raiders kill 38 in latest land clashes in Kenya,0.16
Red Cross worker killed in Pakistan,Kidnapped UK aid worker killed in Pakistan,0.44
8 rockets fired from Gaza into southern Israel; none hurt,Ten rockets from Gaza land in southern Israel; none hurt,0.68
U.S. soldier killed in shooting incident in S. Afghanistan,Five NATO soldiers killed in Afghanistan,0.32
Polls close in Egyptian presidential election,Press Releases: Yemeni Presidential Election,0.16
Police 'did not link' Savile claims,BBC faces questions for pulling Savile case,0.24
Eurozone unemployment stays at record 11 percent,Eurozone unemployment hits record high,0.68
James Murdoch quits BSkyB,James Murdoch quits role at BSkyB,0.84
Iconic science fiction writer Ray Bradbury dies at 91,Science fiction legend Ray Bradbury dead at 91,0.96
Egypt presidential election May 23-24,US presidential election 2012,0.12
Four French soldiers killed in Afghan suicide blast,Four foreign soldiers killed in Afghan east,0.68
UN observers find traces of Syrian massacre,UN team investigates Syrian massacre,0.8
AP poll: Majority in US have prejudice against blacks,AP Poll: Majority Harbor Prejudice Against Blacks,0.72
AP Source: Redskins to trade for No. 2 pick,Redskins trade for No. 2 pick,0.84
China says defense budget to rise 11.2% in 2012,China's defence spending to rise 11.2%,0.8
String of Iraq blasts kills at least 32,Strong Italy Quake Kills at Least Six,0.0
Ecuador President Correa says no decision made on Assange asylum,Ecuador yet to decide on Assange's asylum,0.76
US offers US$10 mil. for Pakistan militant,US offers $10 million for Pakistani militant chief,0.76
6 NATO troops killed in Afghanistan IED attack,6 NATO troops killed in Afghanistan,0.76
Osama Bin Laden Wives to Be Jailed,Osama Bin Laden movie to be filmed in India,0.16
Egyptians vote in landmark presidential election,Egyptians go to polls in historic election,0.8
"JetBlue pilot who disrupted flight declared insane, not guilty",JetBlue pilot who caused disruption on flight not guilty,0.76
Tsunami warning: No need for SA to panic,Tsunami warning after Aceh quake,0.44
US Hands Over Bagram Prison to Afghan Authorities,U.S. transfers Bagram prison to Afghan control,0.96
Jeremy Hunt distances himself from adviser who 'overstepped the mark',Jeremy Hunt clings on as SpAd quits over News Corp emails,0.4
Obama praises U.S.-Latin America trade ties,Obama Secret Service agents sent home,0.08
Blitzbokke ousted by Fiji,Blitzbokke beaten by NZ,0.4
Obama and Romney focus on swing-states,Team Anna yet to decide on contesting state polls,0.08
'Grenade attack' kills one and injures at least 11,Sex attack on woman investigated,0.04
'Scores of bodies' found in Syria,Eight more bodies found on ship,0.28
Shooter charged with murder of US black teen,Thoughts on race relations under a black president,0.16
Jonny Bairstow and Eoin Morgan shine for England in Mumbai,Bairstow hits ton in India tour match,0.36
How wind farm developers 'use camera tricks to make turbines look smaller than they really are',Wind farm developers using 'tricks' to make turbines look smaller,0.88
US drone kills six militants in Pakistan: officials,US missiles kill 15 in Pakistan: officials,0.48
Nigeria: Nigerian troops swarm after 40 killed in student massacre,Nigeria police make arrests after college massacre,0.52
Nerves Calmed -- For Now : Markets Jump on Relief over Spanish Bank Bailout,Focus Shifts to Greece After Spain Secures Bank Bailout,0.44
Heavy Fighting Reported in Syria's Aleppo,Heavy fighting reported in Damascus,0.28
France says Greece must show credibility for eurozone,France's Hollande backs Greece but urges credible reform,0.36
Avengers sets box office record,The Hunger Games breaks US box office record,0.24
4 French Soldiers Reported Killed in Afghanistan,British Soldier Killed In Afghanistan,0.2
Spanish bailout dilemma gets more acute,Spanish dilemma gets more acute,0.68
NATO soldier dies in Afghanistan,Two Aust soldiers wounded in Afghanistan,0.12
Chinese stocks open lower Wednesday,China stocks open lower Friday,0.48
Palestinian leadership condemn Israeli FM call to oust Abbas,Palestinian leadership backs Fatah-Hamas Doha deal,0.2
Mitt Romney wins Maryland GOP primary,Romney wins Maryland Republican primary,0.96
Man finds car on eBay 42 years after it was stolen,Texas man finds his car 42 years after it was stolen,0.72
Sylvester Stallone's son found dead in Hollywood,"Sylvester Stalloneâ€™s son, Sage Stallone, found dead in Hol",0.68
NATO: 4 aid workers rescued from Afghan insurgents,5 aid workers freed in operation in Afghanistan,0.56
Russia jails Pussy Riot protest punks for two years,Russian court to rule in Pussy Riot trial,0.36
Israel bars German writer Grass from visiting over poem,Israel bars German author Grass over poem,0.88
"The Note's Must-Reads for August 1, 2012","The Note's Must Reads for Wednesday July 4, 2012",0.36
NATO US troop detained over shooting of Afghan civilians,U.S. says saddened by shooting on Afghan civilians,0.48
Hollande wins French presidential election,East Timor votes in presidential election,0.32
Military: Syria chemical stocks threaten Israel,Russia tells Syria chemical arms threat is unacceptable,0.36
Fitch upgrades Ford to investment grade,Fitch restores Ford credit to investment grade,0.72
"Syria peace plan conditions “unacceptable,” opposition says",Syria peace dashed as deadline passes,0.4
Clashes as Greeks protest against more cutbacks,Clashes erupt as Greek vote nears,0.48
"9 dead, 11 hurt, 4 missing in Mont Blanc avalanche","6 dead, several missing in Mont Blanc avalanche",0.48
"Taliban pose as 'attractive women, on Facebook for spying",Taliban soldiers posing as pretty women on Facebook to get troops' secrets,0.92
China activist Chen lands in US,Chinese activist renews call to fight injustice,0.24
City Room: Empire State Building Shooting,2 dead in shooting outside Empire State Building,0.64
Mohamed Morsi sworn in as Eygptian president,Mursi sworn in as Egyptian president,0.88
Attack on Nato base in Afghanistan kills 15,Aid workers freed in Afghanistan raid,0.2
"Yemen Suicide Blast, Drone Attack Kill At Least 30",Spate of Iraq attacks kill at least six,0.2
Torres moving on after Olympic bid fails,"Torres finishes 4th, misses out on sixth Olympics",0.6
Pakistan begins demolition of bin Laden compound,Pakistan demolishes Osama bin Laden hideout,0.56
Sudan blames Israel for Khartoum arms fire,Sudan accuses Israel of airstrike on arms factory,0.72
House-Senate deal reached on payroll tax measure,Negotiators reach deal on Congress payroll tax cut bill,0.76
"Tropical Storm Isaac drenches Haiti, swipes Cuba",Tropical Storm Isaac threatens dam,0.28
Foreign pro-Palestinian activists seek to enter West Bank,100 pro-Palestinians seek to enter Israel at Allenby,0.44
"World stocks rise on hopes for EU, US stimulus",Stocks rise on hopes for a Fed stimulus,0.6
"Gore Vidal dead at 86: Legendary author, playwright, and politician dies","Gore Vidal, celebrated author, playwright, dies at 86",0.8
World stocks fall before Greek debt deal deadline,Asia stocks fall ahead of Greek debt deal deadline,0.48
South Africa police shot dead 30 miners,South Africa police say they killed 30+ miners,0.84
"Isaac drenches Haiti, heads toward Cuba, Florida",Isaac nears Haiti with homeless quake population,0.48
Britain reaches out to Syria opposition,Who cares about the Syrian people?,0.24
Obama relaxes deportation rules for young immigrants,U.S. relaxes deportation rules for young people: Napolitano,0.8
Microsoft's Surface a big bet on future: Analysts,"Microsoft's Surface tablet promising, but questions remain",0.76
'Whitey' Bulger's girlfriend gets 8 years,"Mobster ""Whitey"" Bulger's girlfriend gets 8 years",0.72
Mauritanian president shot by army unit,Mauritanian president shot at,0.76
Man sets himself on fire at Breivik trial,Man sets self afire outside Breivik trial,0.92
U.S. drone strike kills 10 in northwest Pakistan,US drone in Pakistan kills 10 suspected militants,0.76
"9,000 U.S. Marines to leave Okinawa","9,000 U.S. Marines to move out of Okinawa: statement",1.0
Toys R Us waives fee for layaway program,Wal-Mart lowers fee for holiday layaway program,0.36
Iran expands nuclear enrichment activities: IAEA report,Iran steps up sensitive nuclear work - IAEA,0.6
"Donna Summer, Queen of Disco, dies at 63","Donna Summer, the queen of disco",0.6
"Iraqi Attacks Kill General, Four Police",Attacks in Iraq kill general and 4 others,0.8
At least 80 dead in northwest Iran quakes,"180 dead, 1,300 injured in northwest Iran earthquakes",0.52
Brazil's 'pop-star priest' gets mammoth new stage,Brazil's 'Pop-Star Priest' Gets Mammoth New Stage,1.0
Washington: More Than 100 Are Charged in Medicare Fraud Sweep,Washington: Court Upholds Voting Rights Act in Alabama Case,0.12
Putin claims victory in Russia's presidential election,Putin claims victory in presidential vote,0.84
Clinton ready to fight for Obama,Clinton a tough act for Obama to follow,0.2
Romney announces Paul Ryan as running mate,Romney chooses Ryan as GOP running mate,0.88
European markets rise on Greek bailout hopes,European Ministers Are Poised to Approve Greek Rescue,0.44
"Edwards Acquitted on 1 Count, Mistrial on Others",Edwards found not guilty on one count; mistrial on others,0.92
Ukrainian weightlifter gets four-year doping ban,Ukraine's Korobka gets four-year doping ban,0.84
Gunman may have filmed school massacre,Killer may have filmed France school shooting,0.6
Hong Kong stocks close down 0.28%,Hong Kong stocks open 0.62 pct higher,0.32
Suicide bomber attacks Algerian security base,Suicide bomber targets Nigerian church,0.16
Thailand: Iranians planned to attack Israelis,Malaysia to extradite Iranian for attack on Israelis,0.2
Israeli military court rejects appeal of Palestinian hunger striker,Israel reaches deal with Palestinian hunger strikers,0.24
Avengers sets box office record,'Hunger Games' sets box office records,0.32
Putin 'Wins Russian Presidential Election',Putin 'wins' Russia's presidential election,0.84
Putin casts ballot as Russians vote,Putin to win Russia's presidential election,0.28
"UN Chief Finds His Voice, Remains Cautious on China","Insight: U.N. chief finds his voice, but remains cautious on China",0.96
Libyans begin handing in weapons,Libyans transfer weapons to army,0.64
British Archbishop of Canterbury changes career to Cambridge,Archbishop of Canterbury to step down amid rifts,0.48
"Punjab Mail derails near Rohtak, 19 injured","Punjab Mail derails near Rohtak in Haryana, 19 injured",0.84
George Zimmerman 'to be charged' with killing Trayvon Martin,"George Zimmerman to be charged in Trayvon Martin case, official says",0.8
Indian Maoist rebels offer talks to free Italian hostages,India: Maoist rebels in talks on freeing Italians,0.76
Two reported dead in shooting at Empire State Building in NY,City Room: Empire State Building Shooting,0.56
Five dead in Pakistan suicide blast,At least 63 dead in Pakistan factory blaze,0.2
Penn State football players react to sanctions,Penn State football slammed with NCAA sanctions,0.48
Israel must release or try Palestinian on prolonged hunger strike,Israeli minister wants Palestinian leader's ouster,0.1
UN report says both sides in Syria abuse rights,NATO leader plays down risk of Turkey-Syria clash,0.2
Girl accused of burning Koran goes into hiding,Girl accused of burning Koran bailed,0.64
France warns Syria over chemical weapons use,U.N. concerned at possible Syria chemical weapons,0.44
Life-threatening Midwest storms feared,'Life-Threatening' Storms Feared for Midwest,0.88
Chicago teacher strike nears end with 'framework' agreement in place,"General strike ends: Histadrut, Treasury reach agreement",0.16
Indonesian president to visit UK,Indonesian president to visit Australia,0.28
Storm delays start of Republican convention,"Storm lashes Florida, delaying Republican convention",0.88
At least two Nato killed in Afghanistan helicopter crash: military,At least 18 killed in Afghan bomb attacks: officials,0.16
President Mills must quit - Lecturer,President John Evans Atta-Mills Must Resign Now -NPP Germany,0.52
Miami Heat wins NBA Finals,Miami Heat clinches NBA Championship,1.0
Japan closes last nuclear reactor,Japan switches off last nuclear power plant this weekend,0.84
Ryanair in new bid for Aer Lingus,Ryanair chief hails report findings,0.24
Russian Air Force celebrates 100th anniversary,Russian air force's 100th anniversary,0.88
6 NATO troops killed in Afghanistan,NATO Soldier Killed in Afghanistan,0.44
Not so Super Tuesday for Mitt Romney,Romney leads Santorum in GOP Super Tuesday contests,0.32
Putin sworn in as Russian growth falters,Putin sworn in as Russia's president for 6 years,0.48
"ArQule, Daiichi stop lung cancer trial, shares tank",ArQule stock plunges as lung cancer study shelved,0.68
Teenager and father killed in crash,Three killed in horror crash are named,0.32
